State,Constituency,Party,Candidate,Votes,Votes Percentage
Andhra Pradesh,Araku ,Yuvajana Sramika Rythu Congress Party,GUMMA THANUJA RANI,477005,0.000739126
Andhra Pradesh,Araku ,Bharatiya Janata Party,KOTHAPALLI GEETHA,426425,0.000660752
Andhra Pradesh,Araku ,Communist Party of India  (Marxist),APPALANARASA PACHIPENTA,123129,0.00019079
Andhra Pradesh,Araku ,Bahujan Samaj Party,AVASHYA LAHARI . VARAM,25750,3.99E-05
Andhra Pradesh,Araku ,Independent,SAMAREDDY BALAKRISHNA,9535,1.48E-05
Andhra Pradesh,Araku ,Independent,NIMMAKA JAYARAJU,9462,1.47E-05
Andhra Pradesh,Araku ,Independent,ATHIDHI,8136,1.26E-05
Andhra Pradesh,Araku ,Jai Bharat National Party,CHANTI BADNAINA,7252,1.12E-05
Andhra Pradesh,Araku ,Bharat Adivasi Party,MOTTADAM . RAJABABU,6766,1.05E-05
Andhra Pradesh,Araku ,Independent,RANJITH KUMAR PALAKA,6047,9.37E-06
Andhra Pradesh,Araku ,Independent,MANDALA GIRIDHARA RAO,4967,7.70E-06
Andhra Pradesh,Araku ,Telugu Rajadhikara Samiti Party,RAMBABU JALLI,4959,7.68E-06
Andhra Pradesh,Araku ,India Praja Bandhu Party,VUYAKA NIREEKSHAN  (V. CHENCHU),4542,7.04E-06
Andhra Pradesh,Araku ,None of the Above,NOTA,50470,7.82E-05
Andhra Pradesh,Srikakulam,Telugu Desam,KINJARAPU RAMMOHAN NAIDU,754328,0.001168842
Andhra Pradesh,Srikakulam,Yuvajana Sramika Rythu Congress Party,TILAK PERADA,426427,0.000660755
Andhra Pradesh,Srikakulam,Indian National Congress,PEDADA PARAMESWARA RAO,7172,1.11E-05
Andhra Pradesh,Srikakulam,Independent,SANAPALA SRAVAN KUMAR,5958,9.23E-06
Andhra Pradesh,Srikakulam,Bahujan Samaj Party,NAIDUGARI RAJASEKHAR,4742,7.35E-06
Andhra Pradesh,Srikakulam,Independent,VABA YOGESWARA RAO,3598,5.58E-06
Andhra Pradesh,Srikakulam,Independent,BETHA VIVEKANANDA MAHARAJ,2536,3.93E-06
Andhra Pradesh,Srikakulam,Independent,YEDDU LAKSHMINARAYANA,1605,2.49E-06
Andhra Pradesh,Srikakulam,Bharatha Chaitanya Yuvajana Party,BORUBADRA CHANDRAKALA,1357,2.10E-06
Andhra Pradesh,Srikakulam,Jai Bharat National Party,IPPILI SEETHARAJU,1130,1.75E-06
Andhra Pradesh,Srikakulam,Navarang Congress Party,KAYA DURGARAO,818,1.27E-06
Andhra Pradesh,Srikakulam,Independent,CHELLURI DANIYAL,816,1.26E-06
Andhra Pradesh,Srikakulam,Pyramid Party of India,BOMMALI TIRUPATI RAO,594,9.20E-07
Andhra Pradesh,Srikakulam,None of the Above,NOTA,24605,3.81E-05
Andhra Pradesh,Vizianagaram,Telugu Desam,APPALANAIDU KALISETTI,743113,0.001151464
Andhra Pradesh,Vizianagaram,Yuvajana Sramika Rythu Congress Party,BELLANA CHANDRASEKHAR,493762,0.000765091
Andhra Pradesh,Vizianagaram,Indian National Congress,BOBBILI SRINU,10623,1.65E-05
Andhra Pradesh,Vizianagaram,Bahujan Samaj Party,PEERUBANDI PRAKASH RAO,8038,1.25E-05
Andhra Pradesh,Vizianagaram,Independent,VELURI VENKATA TRINADHARAO,4152,6.43E-06
Andhra Pradesh,Vizianagaram,Independent,ALLU SRIRAMULU,3401,5.27E-06
Andhra Pradesh,Vizianagaram,Independent,SIYYADULA YELLA RAO,3107,4.81E-06
Andhra Pradesh,Vizianagaram,Yuga Thulasi Party,SRINIVASA RAO SAMBHANA,1761,2.73E-06
Andhra Pradesh,Vizianagaram,Independent,MARISERLA KRISHNAMURTHY NAIDU,1629,2.52E-06
Andhra Pradesh,Vizianagaram,Naba Bharata Nirmana Seva Party,VANGAPANDU MAHESWARA RAO,1553,2.41E-06
Andhra Pradesh,Vizianagaram,Jaibhim Rao Bharat Party,CHINNAM ARUNA KUMAR,1411,2.19E-06
Andhra Pradesh,Vizianagaram,Samajwadi Party,ATCHIYYA NAIDU SAMIREDDY,1070,1.66E-06
Andhra Pradesh,Vizianagaram,Independent,ADINARAYANA TADDI,856,1.33E-06
Andhra Pradesh,Vizianagaram,Independent,P V A ANANDA SAGAR,791,1.23E-06
Andhra Pradesh,Vizianagaram,Pyramid Party of India,SAKHINETI ANANTHA RAJU,725,1.12E-06
Andhra Pradesh,Vizianagaram,None of the Above,NOTA,23250,3.60E-05
Andhra Pradesh,Visakhapatnam,Telugu Desam,SRIBHARAT MATHUKUMILI,907467,0.001406133
Andhra Pradesh,Visakhapatnam,Yuvajana Sramika Rythu Congress Party,JHANSI LAKSHMI. BOTCHA.,403220,0.000624795
Andhra Pradesh,Visakhapatnam,Indian National Congress,P. SATYA REDDY,30267,4.69E-05
Andhra Pradesh,Visakhapatnam,Praja Shanthi Party,K.A. PAUL,7696,1.19E-05
Andhra Pradesh,Visakhapatnam,Bahujan Samaj Party,PEDAPENKI SIVA PRASADA RAO,6091,9.44E-06
Andhra Pradesh,Visakhapatnam,Navarang Congress Party,BIKKAVOLU. CHALAMAJI,4884,7.57E-06
Andhra Pradesh,Visakhapatnam,Rashtriya Praja Congress  (Secular),V.N. SATYA NARAYANA,2537,3.93E-06
Andhra Pradesh,Visakhapatnam,Independent,ARUNA SRI MURALA,1993,3.09E-06
Andhra Pradesh,Visakhapatnam,Independent,VASUPILLI SURESH,1933,3.00E-06
Andhra Pradesh,Visakhapatnam,Independent,SONDI KRISHNA.,1818,2.82E-06
Andhra Pradesh,Visakhapatnam,India Praja Bandhu Party,ANDUKURI VIJAYA BHASKAR,1109,1.72E-06
Andhra Pradesh,Visakhapatnam,Republican Party of India (A),DR. GANAPATHI KONGARAPU.,950,1.47E-06
Andhra Pradesh,Visakhapatnam,Dalita Bahujana Party,BANNA. RAMESH,948,1.47E-06
Andhra Pradesh,Visakhapatnam,Pyramid Party of India,P. SATYA VANI,882,1.37E-06
Andhra Pradesh,Visakhapatnam,Bhartiya Rashtriya Dal,DURGA PRASAD. GUNTU,767,1.19E-06
Andhra Pradesh,Visakhapatnam,Independent,CHAPPIDI RAMU,757,1.17E-06
Andhra Pradesh,Visakhapatnam,Independent,M.G.M. KHAN,742,1.15E-06
Andhra Pradesh,Visakhapatnam,Independent,SHANKAR DEVARA YADAV,661,1.02E-06
Andhra Pradesh,Visakhapatnam,Independent,VENU MADHAV KARRI,647,1.00E-06
Andhra Pradesh,Visakhapatnam,Bharatha Chaitanya Yuvajana Party,DR. ACHUTHA BALAJI YADAV (MURAPALA),638,9.89E-07
Andhra Pradesh,Visakhapatnam,Praja Prasthanam Party,THOTA VENKATA SAI MUKUND,633,9.81E-07
Andhra Pradesh,Visakhapatnam,Independent,PIDIDHI APPARAO,580,8.99E-07
Andhra Pradesh,Visakhapatnam,Independent,G.A.N. ANAND,543,8.41E-07
Andhra Pradesh,Visakhapatnam,Independent,VADDI. HARI GANESH,520,8.06E-07
Andhra Pradesh,Visakhapatnam,Independent,JANARDHAN PONNADA.,500,7.75E-07
Andhra Pradesh,Visakhapatnam,Jai Maha Bharath Party,GANAPATHI. JAGADEESWARA RAO (JAGADEESH),500,7.75E-07
Andhra Pradesh,Visakhapatnam,Samajwadi Party,JALADI VIJAYA KUMARI,466,7.22E-07
Andhra Pradesh,Visakhapatnam,Naba Bharata Nirmana Seva Party,CHINTADA SURYAM,448,6.94E-07
Andhra Pradesh,Visakhapatnam,Navataram Party,GANDIKOTA RAJESH,393,6.09E-07
Andhra Pradesh,Visakhapatnam,Independent,KOLLI NAGA RAJU,329,5.10E-07
Andhra Pradesh,Visakhapatnam,Independent,METTA RAMA RAO,326,5.05E-07
Andhra Pradesh,Visakhapatnam,Independent,LAGUDU. GOVINDA RAO,294,4.56E-07
Andhra Pradesh,Visakhapatnam,Independent,MALLA SRAVANI,273,4.23E-07
Andhra Pradesh,Visakhapatnam,None of the Above,NOTA,5313,8.23E-06
Andhra Pradesh,Anakapalle,Bharatiya Janata Party,C.M.RAMESH,762069,0.001180837
Andhra Pradesh,Anakapalle,Yuvajana Sramika Rythu Congress Party,BUDI MUTYALA NAIDU,465539,0.000721359
Andhra Pradesh,Anakapalle,Indian National Congress,VEGI VENKATESH,25651,3.97E-05
Andhra Pradesh,Anakapalle,Bahujan Samaj Party,PALAKA SREERAMA MURTHY,19157,2.97E-05
Andhra Pradesh,Anakapalle,Independent,VANKAYALA RAMACHANDRA RAO,4002,6.20E-06
Andhra Pradesh,Anakapalle,Independent,LOVARAJU SIDDHA,3852,5.97E-06
Andhra Pradesh,Anakapalle,Dalita Bahujana Party,KRISHNA SWAROOP VADLAMURI,3557,5.51E-06
Andhra Pradesh,Anakapalle,Independent,GARA SURYA RAO,3124,4.84E-06
Andhra Pradesh,Anakapalle,Bharatha Chaitanya Yuvajana Party,APPALA RAJU NAMMI,2619,4.06E-06
Andhra Pradesh,Anakapalle,Independent,NAGESWARA RAO PETLA,2184,3.38E-06
Andhra Pradesh,Anakapalle,Jai Bharat National Party,ADARI SARAT CHANDRA,1913,2.96E-06
Andhra Pradesh,Anakapalle,Pyramid Party of India,VIJAYA LAKSHMI KARRI,1591,2.47E-06
Andhra Pradesh,Anakapalle,Independent,DR. THUMMAPALA HARI  SHANKAR,1576,2.44E-06
Andhra Pradesh,Anakapalle,Independent,JUNNURI J SRINIVAS,1201,1.86E-06
Andhra Pradesh,Anakapalle,Independent,APPALANAIDU TUMMAGUNTA,1062,1.65E-06
Andhra Pradesh,Anakapalle,None of the Above,NOTA,26235,4.07E-05
Andhra Pradesh,Kakinada,Janasena Party,TANGELLA UDAY SRINIVAS  (TEA TIME UDAY),729699,0.001130679
Andhra Pradesh,Kakinada,Yuvajana Sramika Rythu Congress Party,CHALAMALASETTY SUNIL,500208,0.00077508
Andhra Pradesh,Kakinada,Indian National Congress,MALLIPUDI MANGAPATI PALLAM RAJU,21109,3.27E-05
Andhra Pradesh,Kakinada,Navarang Congress Party,UDAY,15703,2.43E-05
Andhra Pradesh,Kakinada,Bahujan Samaj Party,KANDREGULA NARASIMHAM,11979,1.86E-05
Andhra Pradesh,Kakinada,Bharatha Chaitanya Yuvajana Party,DR ANUSHA YADAV,9854,1.53E-05
Andhra Pradesh,Kakinada,Jatiya Jana Sena Party,TANGELLA SRINIVASU,6559,1.02E-05
Andhra Pradesh,Kakinada,Republican Party of India (A),YEDIDA VARA PRASAD KUMAR,3927,6.08E-06
Andhra Pradesh,Kakinada,Communist Party of India  (Marxist-Leninist)  (Liberation),BUGATHA BANGARRAO,2823,4.37E-06
Andhra Pradesh,Kakinada,Independent,SUDHA VEERA GANESH,2647,4.10E-06
Andhra Pradesh,Kakinada,Independent,BHAVANI SANKAR PRASAD MERLA,1969,3.05E-06
Andhra Pradesh,Kakinada,Jaibhim Rao Bharat Party,YENUGUPALLI KRISHNA,1780,2.76E-06
Andhra Pradesh,Kakinada,Independent,BODDETI APPARAO,1687,2.61E-06
Andhra Pradesh,Kakinada,Independent,NEELAKANTAM DONAM,1412,2.19E-06
Andhra Pradesh,Kakinada,Independent,PASUPULETI S.V.S.BHUSHANAM,1227,1.90E-06
Andhra Pradesh,Kakinada,None of the Above,NOTA,17220,2.67E-05
Andhra Pradesh,Amalapuram ,Telugu Desam,G M HARISH (BALAYOGI),796981,0.001234934
Andhra Pradesh,Amalapuram ,Yuvajana Sramika Rythu Congress Party,RAPAKA VARAPRASADA RAO,454785,0.000704696
Andhra Pradesh,Amalapuram ,Indian National Congress,GOUTHAM JANGA,15082,2.34E-05
Andhra Pradesh,Amalapuram ,Bahujan Samaj Party,DORABABU YALLA,5388,8.35E-06
Andhra Pradesh,Amalapuram ,Telugu Nava Garjana Party,KATRU NAGA BABU,3741,5.80E-06
Andhra Pradesh,Amalapuram ,Independent,VADDI LALITH KUMAR,2977,4.61E-06
Andhra Pradesh,Amalapuram ,Independent,MAKEY DAVY PRASAD,2111,3.27E-06
Andhra Pradesh,Amalapuram ,Independent,GUDE VENKATESWARULU,1745,2.70E-06
Andhra Pradesh,Amalapuram ,Jatiya Jana Sena Party,RAMESH JILLELLA,872,1.35E-06
Andhra Pradesh,Amalapuram ,Jaibhim Rao Bharat Party,YALANGI RAMESH,740,1.15E-06
Andhra Pradesh,Amalapuram ,Republican Party of India,GIDDI JNANA PRAKASA RAO,726,1.12E-06
Andhra Pradesh,Amalapuram ,Pyramid Party of India,MATHA KRISHNA,719,1.11E-06
Andhra Pradesh,Amalapuram ,Liberation Congress Party,YADLA RAJESH,635,9.84E-07
Andhra Pradesh,Amalapuram ,Republican Party of India (A),KAPA KALYAN,581,9.00E-07
Andhra Pradesh,Amalapuram ,Peoples Party of India (Democratic),PATHURI RAMESH,505,7.83E-07
Andhra Pradesh,Amalapuram ,None of the Above,NOTA,13518,2.09E-05
Andhra Pradesh,Rajahmundry,Bharatiya Janata Party,DAGGUBATI PURANDHESHWARI,726515,0.001125746
Andhra Pradesh,Rajahmundry,Yuvajana Sramika Rythu Congress Party,DR. GUDURI SRINIVAS,487376,0.000755196
Andhra Pradesh,Rajahmundry,Indian National Congress,GIDUGU RUDRARAJU,32508,5.04E-05
Andhra Pradesh,Rajahmundry,Bahujan Samaj Party,GANESWARA RAO PARAMATA,20409,3.16E-05
Andhra Pradesh,Rajahmundry,Navarang Congress Party,BATTULA BALARAMAKRISHNA,17008,2.64E-05
Andhra Pradesh,Rajahmundry,Independent,SALOPANTULA RAGHAVENDRA RAO,3278,5.08E-06
Andhra Pradesh,Rajahmundry,Independent,DR. MEDISI RATNARAO ALIAS VINAY,3115,4.83E-06
Andhra Pradesh,Rajahmundry,Jai Bharat National Party,MOHANARAO SINGULURI,2833,4.39E-06
Andhra Pradesh,Rajahmundry,Rashtriya Praja Congress  (Secular),MEDA SRINIVASA RAO,2429,3.76E-06
Andhra Pradesh,Rajahmundry,Independent,BOMMANABOINA VSR MURTHY,2179,3.38E-06
Andhra Pradesh,Rajahmundry,Independent,BHANU CHANDAR KURUVELLA,1958,3.03E-06
Andhra Pradesh,Rajahmundry,Independent,JALLI BALA NAVEENA,1254,1.94E-06
Andhra Pradesh,Rajahmundry,None of the Above,NOTA,24435,3.79E-05
Andhra Pradesh,Narsapuram,Bharatiya Janata Party,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),707343,0.001096038
Andhra Pradesh,Narsapuram,Yuvajana Sramika Rythu Congress Party,UMABALA GUDURI,430541,0.00066713
Andhra Pradesh,Narsapuram,Indian National Congress,K.B.R.NAIDU,35213,5.46E-05
Andhra Pradesh,Narsapuram,Independent,PRASANNA KUMAR UNDURTHI,6364,9.86E-06
Andhra Pradesh,Narsapuram,Bahujan Samaj Party,SIRRA RAJU,6014,9.32E-06
Andhra Pradesh,Narsapuram,Independent,MEDAPATI VENKATA VARAHALA REDDY,5969,9.25E-06
Andhra Pradesh,Narsapuram,Independent,BALAGAM NAYAKAR,5240,8.12E-06
Andhra Pradesh,Narsapuram,Independent,NALLI RAJESH,4684,7.26E-06
Andhra Pradesh,Narsapuram,Independent,KETHA SREENU,3145,4.87E-06
Andhra Pradesh,Narsapuram,Jaibhim Rao Bharat Party,OLETY NAGENDRA KRISHNA,3116,4.83E-06
Andhra Pradesh,Narsapuram,Independent,ADDEPALLI VEERA VENKAT SUBBA RAO,2783,4.31E-06
Andhra Pradesh,Narsapuram,Independent,ANAND CHANDULAL JASTI,2726,4.22E-06
Andhra Pradesh,Narsapuram,Republican Party of India (A),GANJI PURNIMA,1649,2.56E-06
Andhra Pradesh,Narsapuram,Independent,GEDALA LAXMANA RAO,1527,2.37E-06
Andhra Pradesh,Narsapuram,Independent,ADDANKI DORABABU,1393,2.16E-06
Andhra Pradesh,Narsapuram,Independent,GOTTUMUKKALA SHIVAJI,1384,2.14E-06
Andhra Pradesh,Narsapuram,Independent,ADINARAYANA DUPPANAPUDI,1007,1.56E-06
Andhra Pradesh,Narsapuram,Pyramid Party of India,MANNE LEELA RAMA NARENDRA,930,1.44E-06
Andhra Pradesh,Narsapuram,Independent,RAMA DURGA PRASAD THOLETI,920,1.43E-06
Andhra Pradesh,Narsapuram,Independent,RUKHMINI,686,1.06E-06
Andhra Pradesh,Narsapuram,Independent,ADABALA SIVA,683,1.06E-06
Andhra Pradesh,Narsapuram,None of the Above,NOTA,7677,1.19E-05
Andhra Pradesh,Eluru,Telugu Desam,PUTTA MAHESH KUMAR,746351,0.001156482
Andhra Pradesh,Eluru,Yuvajana Sramika Rythu Congress Party,KARUMURI SUNIL KUMAR,564494,0.000874692
Andhra Pradesh,Eluru,Indian National Congress,KAVURI LAVANYA,20826,3.23E-05
Andhra Pradesh,Eluru,Navarang Congress Party,AJAY BABU BODA,12210,1.89E-05
Andhra Pradesh,Eluru,Bahujan Samaj Party,NITTA AKHILA DHARANI PAL,6732,1.04E-05
Andhra Pradesh,Eluru,Independent,BOKINALA KOTESWARA RAO,2263,3.51E-06
Andhra Pradesh,Eluru,Andhra Rastra Praja Samithi,RUDRAPAKA RATNA RAO (R.R.R),1526,2.36E-06
Andhra Pradesh,Eluru,Independent,KANDAVALLI JEEVA DEVA DAYAKAR,1180,1.83E-06
Andhra Pradesh,Eluru,Independent,AGASTEEN KOMMINA,1004,1.56E-06
Andhra Pradesh,Eluru,Liberation Congress Party,DR. MENDEM SANTHOSH KUMAR (PEDDA BABULU),786,1.22E-06
Andhra Pradesh,Eluru,Bharatheeya Jawan Kisan Party,RAJESWARA RAO KONDRU,732,1.13E-06
Andhra Pradesh,Eluru,Pyramid Party of India,GODUGUPATI VEERA RAGHAVULU,715,1.11E-06
Andhra Pradesh,Eluru,Bharatha Chaitanya Yuvajana Party,BYRABOYINA MALYADRI,715,1.11E-06
Andhra Pradesh,Eluru,None of the Above,NOTA,22515,3.49E-05
Andhra Pradesh,Machilipatnam,Janasena Party,BALASHOWRY VALLABHANENI,724439,0.001122529
Andhra Pradesh,Machilipatnam,Yuvajana Sramika Rythu Congress Party,SIMHADRI CHANDRA SEKHAR RAO,501260,0.00077671
Andhra Pradesh,Machilipatnam,Indian National Congress,GOLLU KRISHNA,31825,4.93E-05
Andhra Pradesh,Machilipatnam,Jatiya Jana Sena Party,BAAL SHOURI CHODABATHINA,11141,1.73E-05
Andhra Pradesh,Machilipatnam,Bahujan Samaj Party,DEVAMANI DEVARAPALLI,10028,1.55E-05
Andhra Pradesh,Machilipatnam,All India Forward Bloc,KOMMARAJU SIVA NARASIMHA RAO,5254,8.14E-06
Andhra Pradesh,Machilipatnam,Independent,VALLABHANENI NAGA PAVAN KUMAR,5220,8.09E-06
Andhra Pradesh,Machilipatnam,Jai Maha Bharath Party,MARADANI K R SWAMY,2214,3.43E-06
Andhra Pradesh,Machilipatnam,Independent,GANDHI  DHANEKULA,1991,3.09E-06
Andhra Pradesh,Machilipatnam,Independent,PAMULA BALA SOWRYAMMA,1582,2.45E-06
Andhra Pradesh,Machilipatnam,Independent,ANUSHA YERUVA,1235,1.91E-06
Andhra Pradesh,Machilipatnam,Independent,GUDAVALLI VENKATA KEDARESWARA RAO,1111,1.72E-06
Andhra Pradesh,Machilipatnam,Independent,JOGI VEERANJANEYULU,1022,1.58E-06
Andhra Pradesh,Machilipatnam,Independent,DAMODARA RAO GUDAVALLI,930,1.44E-06
Andhra Pradesh,Machilipatnam,Independent,APPARAO ENNETI,626,9.70E-07
Andhra Pradesh,Machilipatnam,None of the Above,NOTA,12126,1.88E-05
Andhra Pradesh,Vijayawada,Telugu Desam,KESINENI SIVANATH (CHINNI),794154,0.001230553
Andhra Pradesh,Vijayawada,Yuvajana Sramika Rythu Congress Party,KESINENI SRINIVAS  (NANI),512069,0.000793458
Andhra Pradesh,Vijayawada,Indian National Congress,BHARGAV VALLURU,24106,3.74E-05
Andhra Pradesh,Vijayawada,Navataram Party,KRISHNA KISHORE YANAMANDRA,7878,1.22E-05
Andhra Pradesh,Vijayawada,Independent,VENKATA ASHOK PAPPURI,6672,1.03E-05
Andhra Pradesh,Vijayawada,Independent,DEVARAPALLI MALLIKARJUNA RAO (MAHESH),3199,4.96E-06
Andhra Pradesh,Vijayawada,Bahujan Samaj Party,MEKA VENKATESWARA RAO,2233,3.46E-06
Andhra Pradesh,Vijayawada,Independent,ANIL KUMAR MADDINENI,1240,1.92E-06
Andhra Pradesh,Vijayawada,Telugu Rajadhikara Samiti Party,BARRE SREENIVASARAO (JAI BHEEM SRINIVAS),615,9.53E-07
Andhra Pradesh,Vijayawada,Navarang Congress Party,SYED KHAMURUNNISA,601,9.31E-07
Andhra Pradesh,Vijayawada,Pyramid Party of India,CHAGANTIPATI GANGADHAR GANDHI,489,7.58E-07
Andhra Pradesh,Vijayawada,Jaibhim Rao Bharat Party,DATLA LURTHU MERI,417,6.46E-07
Andhra Pradesh,Vijayawada,Republican Party of India (Athawale),PERAM SIVA NAGESWARA RAO,368,5.70E-07
Andhra Pradesh,Vijayawada,Andhra Rastra Praja Samithi,DEVARASETTY RAVEENDRA BABU,331,5.13E-07
Andhra Pradesh,Vijayawada,Socialist Unity Centre Of India (COMMUNIST),GUJJULA LALITHA,327,5.07E-07
Andhra Pradesh,Vijayawada,All India Jaihind Party,N DASARADHA RAMI REDDY,269,4.17E-07
Andhra Pradesh,Vijayawada,Jai Maha Bharath Party,CHINTHALACHERUVU HEMALATHA,244,3.78E-07
Andhra Pradesh,Vijayawada,None of the Above,NOTA,9193,1.42E-05
Andhra Pradesh,Guntur,Telugu Desam,DR CHANDRA SEKHAR PEMMASANI,864948,0.001340249
Andhra Pradesh,Guntur,Yuvajana Sramika Rythu Congress Party,KILARI VENKATA ROSAIAH,520253,0.00080614
Andhra Pradesh,Guntur,Communist Party of India,JANGALA AJAY KUMAR,8637,1.34E-05
Andhra Pradesh,Guntur,Navataram Party,SIVAREDDY. ENDREDDY,5629,8.72E-06
Andhra Pradesh,Guntur,Bahujan Samaj Party,TENALI PRAKASH,4272,6.62E-06
Andhra Pradesh,Guntur,Jatiya Jana Sena Party,SIKHAKOLLI HEMA GOWRI SHANKAR,1964,3.04E-06
Andhra Pradesh,Guntur,Jaibhim Rao Bharat Party,SAMUDRALA CHINNA KOTAIAH,1753,2.72E-06
Andhra Pradesh,Guntur,Jana Sahayaka Sakthi,UMAR BHASHA SHAIK,1275,1.98E-06
Andhra Pradesh,Guntur,Navarang Congress Party,SYED. SAIDA,1222,1.89E-06
Andhra Pradesh,Guntur,Pyramid Party of India,AMBATI CHALAMAIAH,1031,1.60E-06
Andhra Pradesh,Guntur,Independent,PILLI BABU RAO,692,1.07E-06
Andhra Pradesh,Guntur,Jai Bharat National Party,HARI VENKATA SATISH  KURNALA,542,8.40E-07
Andhra Pradesh,Guntur,Bengaluru Nava Nirmana Party,VISHNU REDDY LANKIREDDY,461,7.14E-07
Andhra Pradesh,Guntur,Navodayam Party,EMANI. CHANDRASEKHAR RAO,414,6.41E-07
Andhra Pradesh,Guntur,Independent,SHAIK. KHAJAVALI,391,6.06E-07
Andhra Pradesh,Guntur,Viduthalai Chiruthaigal Katchi,CHALLAPALLI RATAN RAJU,378,5.86E-07
Andhra Pradesh,Guntur,Independent,KANNEBOYINA VAMSI KRISHNA YADAV,375,5.81E-07
Andhra Pradesh,Guntur,Andhra Pradesh Rashtra Samithi,MOHAMMAD KHAJA MOINUDDIN CHISTI PASHA,358,5.55E-07
Andhra Pradesh,Guntur,Independent,GAYATRI AUDHIPUDI,357,5.53E-07
Andhra Pradesh,Guntur,Independent,SHAIK ASLAM AKTHER,335,5.19E-07
Andhra Pradesh,Guntur,Independent,ASHOK ANAND GALI,335,5.19E-07
Andhra Pradesh,Guntur,Telugu Rajadhikara Samiti Party,PATHAN KHAJA (BASHA),332,5.14E-07
Andhra Pradesh,Guntur,Loktantrik Janta Dal,BURAGA RATNAM,316,4.90E-07
Andhra Pradesh,Guntur,Marxist Communist Party of India (United),AMARTHALURI VENKATESWARA RAO.,312,4.83E-07
Andhra Pradesh,Guntur,Indian Labour Party (Ambedkar Phule),DR. RAYAPUDI RAJESH VIJAY KUMAR,310,4.80E-07
Andhra Pradesh,Guntur,Independent,VANKAYALAPATI VENKATA SIVA RAMANJANEYULU,268,4.15E-07
Andhra Pradesh,Guntur,Independent,SIVA PARVATHI,266,4.12E-07
Andhra Pradesh,Guntur,All Peoples Party,BOMMASANI MUTYALA RAO,207,3.21E-07
Andhra Pradesh,Guntur,Independent,SRIKRISHNA AKKISETTI,179,2.77E-07
Andhra Pradesh,Guntur,Independent,MADAVARAPU NAGA RAJU,172,2.67E-07
Andhra Pradesh,Guntur,None of the Above,NOTA,7387,1.14E-05
Andhra Pradesh,Narsaraopet,Telugu Desam,LAVU SRIKRISHNA DEVARAYALU,807996,0.001252001
Andhra Pradesh,Narsaraopet,Yuvajana Sramika Rythu Congress Party,ANIL KUMAR POLUBOINA,648267,0.001004499
Andhra Pradesh,Narsaraopet,Indian National Congress,GARNEPUDI ALEXANDER SUDHAKAR,18046,2.80E-05
Andhra Pradesh,Narsaraopet,Bahujan Samaj Party,ORSU PREMARAJU,5309,8.23E-06
Andhra Pradesh,Narsaraopet,Jaibhim Rao Bharat Party,KUCHIPUDI JOHN BABU,2336,3.62E-06
Andhra Pradesh,Narsaraopet,Revolutionary Socialist Party,GARLAPATI SUBHASH PREM,1245,1.93E-06
Andhra Pradesh,Narsaraopet,Independent,YAMPATI VEERANJANEYA REDDY,1057,1.64E-06
Andhra Pradesh,Narsaraopet,Independent,SUBBARAO CHALLA,1051,1.63E-06
Andhra Pradesh,Narsaraopet,Independent,ABDUL RAJAK SHAIK,723,1.12E-06
Andhra Pradesh,Narsaraopet,Pyramid Party of India,KOTA POTHURAJU,670,1.04E-06
Andhra Pradesh,Narsaraopet,Jaathia Chethi Vruthula Ikya Vedika Party,P VENKATESH,388,6.01E-07
Andhra Pradesh,Narsaraopet,National Nava Kranthi Party,PASUPULETI PICHAIAH,356,5.52E-07
Andhra Pradesh,Narsaraopet,Navarang Congress Party,PAPPULA SAMBASIVA RAO,332,5.14E-07
Andhra Pradesh,Narsaraopet,Jatiya Jana Sena Party,DOCTOR GODA RAMESH KUMAR,309,4.79E-07
Andhra Pradesh,Narsaraopet,All India Forward Bloc,THOKALA NAGA RAJU,285,4.42E-07
Andhra Pradesh,Narsaraopet,None of the Above,NOTA,11199,1.74E-05
Andhra Pradesh,Bapatla ,Telugu Desam,KRISHNA PRASAD TENNETI,717493,0.001111766
Andhra Pradesh,Bapatla ,Yuvajana Sramika Rythu Congress Party,NANDIGAM SURESH BABU,509462,0.000789419
Andhra Pradesh,Bapatla ,Indian National Congress,J.D. SEELAM,43259,6.70E-05
Andhra Pradesh,Bapatla ,Bahujan Samaj Party,DOKKA JAGAN MOHANA RAO,6857,1.06E-05
Andhra Pradesh,Bapatla ,Navataram Party,NALAMALA TIRUPATI RAO,2964,4.59E-06
Andhra Pradesh,Bapatla ,Independent,BUSSA. NAGARAJU,1318,2.04E-06
Andhra Pradesh,Bapatla ,Independent,GADDE. VIJAYA LAKSHMI,1051,1.63E-06
Andhra Pradesh,Bapatla ,Pyramid Party of India,KATTAPOGU. VIJAY KUMAR,897,1.39E-06
Andhra Pradesh,Bapatla ,Independent,KONDRU KIRAN KUMAR,797,1.23E-06
Andhra Pradesh,Bapatla ,Independent,KATTA ANAND BABU,729,1.13E-06
Andhra Pradesh,Bapatla ,India Praja Bandhu Party,MERUGUPALA SADASIVA RAO,673,1.04E-06
Andhra Pradesh,Bapatla ,Independent,KATTA HEMANAND,549,8.51E-07
Andhra Pradesh,Bapatla ,Jaibhim Rao Bharat Party,PARRE. KOTAIAH,412,6.38E-07
Andhra Pradesh,Bapatla ,Liberation Congress Party,PALADUG VIJENDRA RAO (BAHUJAN),306,4.74E-07
